Year,Player,not_Match_Up,MIN,PTS,not_WL,not_MIN,FG%,not_FGM,not_FGA,not_FG%,not_3PT,not_3PA,not_3P%,not_FTM,not_FTA,REB,AST,not_DREB,not_REB,not_AST,not_STL,BLK,TOV,PF,PlusMinus,Fantasy
2015,Marreese Speights,76,15.9,10.4,4.2,8.5,49.2,0.1,0.2,27.8,2,2.3,84.3,1.4,2.8,4.3,0.9,0.3,0.4,1.1,10.6,,,,,
2015,Taj Gibson,62,27.3,10.3,4.1,8.2,50.2,0,0,0,2.1,3,71.7,2.6,3.8,6.4,1.1,0.6,1.2,1.2,13.5,,,,,
2015,Tyson Chandler,75,30.5,10.3,3.9,5.9,66.6,0,0,0,2.5,3.4,72,3.9,7.6,11.5,1.1,0.6,1.2,1.4,20.4,,,,,
2015,Kelly Olynyk,64,22.3,10.3,3.9,8.3,47.5,1,2.7,34.9,1.5,2.1,68.4,1.4,3.3,4.7,1.7,1,0.6,1.5,11.8,,,,,
2015,Mario Chalmers,80,29.6,10.2,3.3,8.3,40.3,0.9,3.1,29.4,2.6,3.3,77.4,0.3,2.3,2.6,3.8,1.5,0.1,2.2,10.4,,,,,
2015,Nikola Mirotic,82,20.2,10.2,3.1,7.6,40.5,1.2,3.8,31.6,2.8,3.5,80.3,0.8,4.2,4.9,1.2,0.7,0.7,1.1,11.3,,,,,
2015,Tyler Zeller,82,21.1,10.2,4.1,7.5,54.9,0,0,0,1.9,2.3,82.3,1.8,3.9,5.7,1.4,0.2,0.6,0.9,13.3,,,,,
2015,Zach LaVine,77,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,0.7,0.1,2.5,9.4,,,,,
2015,Courtney Lee,77,30.6,10.1,3.7,8.4,44.8,1.2,2.9,40.2,1.4,1.7,86,0.3,2,2.3,2,1,0.2,1,9.6,,,,,
2015,Harrison Barnes,82,28.3,10.1,3.9,8,48.2,1.1,2.6,40.5,1.3,1.8,72,1.4,4.1,5.5,1.4,0.7,0.2,0.9,12.5,,,,,
2015,Matt Barnes,76,29.9,10.1,3.6,8.2,44.4,1.8,4.9,36.2,1,1.3,77.9,0.7,3.3,4,1.5,0.9,0.7,1.1,11.1,,,,,
2015,Wayne Ellington,65,25.8,10,3.9,9.5,41.2,1.4,3.7,37,0.8,1,81.3,0.5,2.8,3.2,1.6,0.5,0,0.8,8.8,,,,,
